Region	Population	Sample_ID	HLA_A_1	HLA_A_2	HLA_B_1	HLA_B_2	HLA_C_1	HLA_C_2	HLA_DQB1_1	HLA_DQB1_2	HLA_DRB1_1	HLA_DRB1_2
EUR	CEU	NA07037	30:01	31:01	15:10	40:01	03:04	03:04			13:02	04:04
EUR	CEU	NA11892	02:01	23:01	13:02	49:01	06:02	07:01			08:01	07:01
EUR	CEU	NA11893	02:01	02:01	15:01	44:02	03:04	05:01			04:01	04:01
EUR	CEU	NA11894	01:01	24:02	08:01	55:01	03:03	07:01			03:01	15:01
EUR	CEU	NA11931	02:01	03:01	07:02	44:02	07:02	05:01			03:01	15:01
EUR	CEU	NA12287	02:01	11:01	15:01	51:01*	03:04	15:02			04:01	04:04
